1;0.2
3:0.35
4;0.64
2;0.92
3;1.07
1;1.19
4;2.31
2;2.46
1;2.7
3;2.83
4;2.96
1;3.84
3:4.1
4;4.57
2;4.82
3;5.29
1;5.51
4;5.72
2;5.9
1;6.05
3;6.22
4;6.32
1;9.03
3:9.18
4;9.33
2;9.46
3;9.6
1;9.73
4;10.14
2;11.5
1;11.66
3;12.01
4;12.24
1;12.56
3:12.85
4;13.7
2;13.85
3;14.43
1;14.59
4;14.72
2;14.85
1;14.98
3;15.13
4;15.24
1;15.63
3:17.03
4;17.23
2;17.33
3;17.50
1;17.68
4;17.99
2;18.32
1;19.29
3;19.43
4;19.57
1;19.69
3:19.83
4;19.97
2;20.09
3;20.23
1;20.37
4;20.49
2;20.62
1;20.77
3;21.14
4;22.57
1;22.73
3:22.84
4;23.03
2;23.21
3;23.21
1;23.51
4;23.89
2;24.81
1;24.95
3;25.42
4;25.57
1;25.7
3:25.84
4;25.99
2;26.13
3;26.29
1;26.59
4;28.11
2;28.26
1;28.56
3;28.78
4;29.07
1;29.34
3:30.28
4;31.01
2;31.34
3;31.49
1;31.62
4;31.89
2;32.16
1;32.59
3;32.78
4;32.94
1;33.32
3:34.12
4;34.28
2;34.42
3;34.56
1;34.7
4;34.84
2;35.27
1;35.61
3;35.82
4;36.15
1;36.51
3:36.83
4;36.98
2;37.13
3;37.28
