1;4.42
2;4.59
3;4.99
4;5.41
3;5.66
3;5.84
3;6.07
3;6.35
3;6.49
3;6.85
3;8.21
3;8.79
3;9.71
3;9.99
2;10.39
3;10.54
4;10.72
1;10.89
4;11.26
3;11.41
2;11.54
1;11.69
4;12.01
3;12.37
2;12.92
1;13.08
4;13.23
3;13.38
2;13.77
1;13.92
4;14.06
3;14.2
2;14.68
1;14.85
4;15.19
3;15.53
2;15.86
1;17.12
2;17.29
3;17.65
4;17.81
3;18.17
3;18.47
3;19.09
3;20.02
3;20.88
3;21.01
3;21.18
3;21.53
3;21.67
3;21.80
2;21.95
3;22.35
4;22.67
1;23.21
4;23.65
3;24.09
2;24.24
1;24.37
4;24.51
3;25.85
2;26.14
1;26.51
4;26.82
3;27.16
2;27.49
1;28.0
4;28.15
2;28.73
1;28.88
4;29.02
3;29.12
2;29.45
1;29.72
2;30.06
3;30.20
4;30.47
